ID_Clube,Clube,ID_Liga
1013,San Lorenzo,1014
1035,Atlético Mineiro,1003
1039,Athletico-PR,1003
1041,Corinthians,1003
1043,Flamengo,1003
1048,Internacional,1003
1053,Santos,1014
1318,England,0
1439,Kalmar FF,56
1443,Viborg FF,1
1456,Odds BK,41
1463,FK Haugesund,41
1473,Ulsan Hyundai,83
1474,Pohang Steelers,83
1477,Jeonbuk Hyundai,83
1478,Jeju United,83
1480,Carlisle United,60
1516,FC Midtjylland,1
1530,Angers SCO,17
1572,Drogheda United,65
1704,Yverdon Sport FC,189
1713,FC Winterthur,189
1738,Havre AC,16
1744,Modena,32
1745,Como,32
1746,Empoli,31
1750,Cercle Brugge,4
1755,Aalesunds FK,41
1756,HamKam Fotball,41
1757,Sandefjord,41
1786,Randers FC,1
1787,Austria Klagenfurt,80
1788,FC Nordsjælland,1
1790,Portsmouth,60
1792,Norwich,14
1793,Reading,60
1794,Sheffield Utd,13
1795,Watford,14
1796,Burnley,13
1797,Rotherham Utd,14
1798,MK Dons,61
1799,Crystal Palace,13
1800,Coventry City,14
1801,Preston,14
1802,Gillingham,61
1803,Walsall,61
1804,Bradford City,61
1805,Grenoble Foot 38,17
1806,Stoke City,14
1807,Sheffield Wed,14
1808,Brighton,13
1809,Toulouse FC,16
1814,Stade Lavallois,17
1815,Clermont Foot 63,16
1816,Amiens SC,17
1819,AS Saint-Étienne,17
1824,Frankfurt,19
1825,MSV Duisburg,2076
1829,VfB Lübeck,2076
1831,Union Berlin,19
1832,Karlsruher SC,20
1837,Sampdoria,32
1842,Cagliari,31
1843,Palermo,32
1846,Borgocalcio,32
1847,Ascoli,32
1848,Bari,32
1853,Levante UD,54
1854,Albacete BP,54
1860,Getafe CF,53
1861,UD Almería,53
1862,Lausanne-Sport,189
1871,Legia Warszawa,66
1874,Ferencvárosi TC,2211
1876,River Plate,1003
1877,Boca Juniors,1003
1884,Panathinaikos,63
1887,Vitória SC,308
1888,Gil Vicente,308
1896,SC Braga,308
1898,Boavista FC,308
1900,Moreirense FC,308
1903,FC Utrecht,10
1905,RKC Waalwijk,10
1906,AZ,10
1908,FC Twente,10
1909,Vitesse,10
1910,N.E.C. Nijmegen,10
1913,sc Heerenveen,10
1914,PEC Zwolle,10
1917,Wigan Athletic,60
1919,Bristol City,14
1923,Luton Town,13
1925,Brentford,13
1926,Blackpool,60
1928,Port Vale,60
1929,Plymouth Argyle,14
1930,Northampton,60
1931,Stockport,61
1932,Barnsley,60
1933,Wycombe,60
1934,Swindon Town,61
1935,Colchester,61
1936,Cheltenham Town,60
1937,Notts County,61
1938,Peterborough,60
1939,Huddersfield,14
1940,Mansfield Town,61
1943,AFC Bournemouth,13
1944,Cambridge Utd,60
1947,Wrexham AFC,61
1951,Oxford United,60
1952,Hull City,14
1958,Leyton Orient,60
1960,Swansea City,14
1961,Cardiff City,14
1962,Bristol Rovers,60
1968,Cádiz CF,53
1971,Excelsior,10
2002,Hvidovre IF,1
2013,KAS Eupen,4
2014,R. Union St.-G.,4
2017,TSV Hartberg,80
2056,Daegu FC,83
8001,RWD Molenbeek,4
10020,Estoril Praia,308
10029,TSG Hoffenheim,19
10030,SC Paderborn 07,20
10031,Portimonense SC,308
10032,FC Lugano,189
10846,Burgos CF,54
15001,Lyngby BK,1
15009,SCR Altach,80
15015,Burton Albion,60
15040,WSG Tirol,80
15048,Tranmere Rovers,61
100081,KV Kortrijk,4
100087,OH Leuven,4
100135,Apoel FC,2210
100325,HJK Helsinki,322
100409,FC Augsburg,19
100632,Go Ahead Eagles,10
100634,Heracles Almelo,10
100646,Sparta Rotterdam,10
100757,FC Dinamo 1948,330
100761,FCSB,330
100804,St. Johnstone,50
100805,St. Mirren,50
100831,AD Alcorcón,54
100851,FC Cartagena,54
100888,CD Leganés,54
101007,MKE Ankaragücü,68
101014,Başakşehir,68
101016,Adana Demirspor,68
101020,Kayserispor,68
101028,Hatayspor,68
101033,Konyaspor,68
